day,hour,listeners,callerlog,pageviews,host,showName,slug,archive_slug,description
0,11,27,1,36,,Jazz,JAZZ,JAZZ_10900,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
0,12,26,5,79,,North Avenue Lounge,NAL,NAL,"The North Avenue Lounge is WREK's interview show.
Every Monday at noon, you can hear a conversation with almost anyone: artists, writers, professors, students, scientists, engineers, musicians, and other fascinating people from Georgia Tech and elsewhere.
We've talked about everything from building an astrophysics lab to dancing ballet to being a blacksmith.
Tune in each Monday at noon to hear an interesting conversation about almost anything."
0,13,27,0,44,,"Rock, Rhythm, and Roll",RRR,RRR_11300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
0,14,32,8,27,,"Rock, Rhythm, and Roll",RRR,RRR_11300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
0,15,37,2,29,,"Rock, Rhythm, and Roll",RRR,RRR_11300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
0,16,23,2,75,,"Rock, Rhythm, and Roll",RRR,RRR_11300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
0,17,25,6,23,,"Rock, Rhythm, and Roll",RRR,RRR_11300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
0,18,26,1,28,,Tapas and Tunes,TAPA,TAPA,"For one hour every Monday night from 6pm to 7pm, Tapas and Tunes brings the wide world of Latin and Spanish music to the airwaves. Ranging from Flamenco to Cumbia to Afro Cuban Jazz, we bring you music steeped in tradition and cultural significance. If itÍs in Spanish, we play it. Tune in for a little old, a little new, and everything in between."
0,19,24,6,31,,Kosher Noise,KN,KN,"Kosher Noise weaves together all the voices of the Diaspora, bringing together genres such as Israeli hip-hop, klezmer funk, Jewish reggae, and traditional (with a modern twist!). Listen in for interviews with local musicians, current event discussions, Hebrew word of the day, and contest giveaways. Featuring such Jewish artists as Hadag Nachash, Idan Raichel, Abraham Inc., Shotey Hanevuah, the Bible Raps Project, Chai Fi, and DeLeon, it's a veritable falafel patty of Judaism's most interesting artists, brought to you by your host, DJ Meltz."
0,20,23,2,30,,Shillelagh Law,SLAW,SLAW,"Irish, Scottish, Welsh, and Celtic music."
0,21,20,1,40,,Sub-Saharan Vibes,SSV,SSV,"STILL NOT AN AFRO-POP SHOW! King Sunny Ade, Fela, Miriam Makeba, Master Drummers of Dagbon, people whose names we don't even know. From the modern to the ancient. Your hosts try to prove that African Music really is a ""Vast Sprawling Cornucopia of Sound"". Fortunately, that's not an especially hard task."
0,22,22,0,60,,Story Time,,,Sit down and enjoy a story with your hosts Sam and Taylor. We take you through a new concept album each week.
0,23,23,0,30,,Story Time,,,Sit down and enjoy a story with your hosts Sam and Taylor. We take you through a new concept album each week.
1,0,21,0,40,,Atmospherics,ATM,ATM_20000,"Ambient, drone; spaced-out textures for deep meditation."
1,1,20,0,12,,Atmospherics,ATM,ATM_20000,"Ambient, drone; spaced-out textures for deep meditation."
1,2,19,0,14,,Atmospherics,ATM,ATM_20000,"Ambient, drone; spaced-out textures for deep meditation."
1,3,18,0,11,,Overnight Alternatives,OA,OA_20300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
1,4,17,0,7,,Overnight Alternatives,OA,OA_20300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
1,5,20,0,11,,Overnight Alternatives,OA,OA_20300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
1,6,21,0,10,,Classics,CL,CL_20600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
1,7,20,0,13,,Classics,CL,CL_20600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
1,8,22,0,49,,Classics,CL,CL_20600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
1,9,20,1,24,,Jazz,JAZZ,JAZZ_20900,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
1,10,21,2,38,,Jazz,JAZZ,JAZZ_20900,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
1,11,25,0,58,,Jazz,JAZZ,JAZZ_20900,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
1,12,24,1,47,,Freaker's Ball,FKBL,FKBL,Join Freaker's Ball as we take you back to the founding of WREK with an appropriate soundtrack.
1,13,20,2,57,,"Rock, Rhythm, and Roll",RRR,RRR_21300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
1,14,20,5,49,,"Rock, Rhythm, and Roll",RRR,RRR_21300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
1,15,23,1,36,,"Rock, Rhythm, and Roll",RRR,RRR_21300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
1,16,26,1,26,,"Rock, Rhythm, and Roll",RRR,RRR_21300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
1,17,23,1,150,,"Rock, Rhythm, and Roll",RRR,RRR_21300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
1,18,20,3,39,,Gold Soundz,GS,GS,Playing the best in Indie Rock and Hipster Pop since 2006.
1,19,20,3,79,,Underground Recordings,UGR,UGR,Historic WREK programming pulled from our basement archives. Features classic Live at WREK performances from the 1980s and unlabeled tape reels dating back to the late 1960s.
1,20,19,0,38,,New Forces,NF,NF,Punk rock and hardcore: We air econo.
1,21,19,0,54,,The Longboards Show,TLBS,TLBS,"Covering the spectrum from surf music to rockabilly, The Longboards Show features artists from Dick Dale to Los Straitjackets, Carl Perkins to Johnny Knox, and Ernest Tubb to The Sadies."
1,22,18,0,51,,Live at WREK,LAW,LAW,"Every Tuesday, we herd a bunch of degenerates that like to play instruments simultaneously near each other and have the cajones to call themselves a band into the studio and let them do their thing. Sometimes the results are so good that it makes cleaning up afterwards worth it."
1,23,18,0,18,,Radiobomb,RB,RB,"Every Tuesday night from 11pm to midnight, we air The New Forces Radio Hour!! We play Punk, Garage, Girl Group, Powerpop, and Psychedelic favorites. From no names to big names you can find it all here."
2,0,19,0,24,,Atmospherics,ATM,ATM_30000,"Ambient, drone; spaced-out textures for deep meditation."
2,1,19,0,13,,Atmospherics,ATM,ATM_30000,"Ambient, drone; spaced-out textures for deep meditation."
2,2,17,0,4,,Atmospherics,ATM,ATM_30000,"Ambient, drone; spaced-out textures for deep meditation."
2,3,17,0,8,,Overnight Alternatives,OA,OA_30300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
2,4,17,0,7,,Overnight Alternatives,OA,OA_30300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
2,5,18,0,5,,Overnight Alternatives,OA,OA_30300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
2,6,20,0,12,,Classics,CL,CL_30600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
2,7,23,0,11,,Classics,CL,CL_30600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
2,8,29,0,22,,Classics,CL,CL_30600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
2,9,27,1,51,,Jazz,JAZZ,JAZZ_30900,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
2,10,26,3,23,,Jazz,JAZZ,JAZZ_30900,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
2,11,27,0,26,,Jazz,JAZZ,JAZZ_30900,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
2,12,24,8,47,,Inside the Black Box,BLBX,BLBX,"Inside the Black Box, or as we like to call it ""Science, only funnier,"" is a weekly show that attempts to demystify science and technology for people without an advanced degree in science or engineering (in other words _ normal people). Your hosts Pete Ludovice and Bill Hunt of the Georgia Tech Engineering Faculty also do stand-up comedy at night."
2,13,26,2,34,,"Rock, Rhythm, and Roll",RRR,RRR_31300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
2,14,25,3,65,,"Rock, Rhythm, and Roll",RRR,RRR_31300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
2,15,23,2,30,,"Rock, Rhythm, and Roll",RRR,RRR_31300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
2,16,21,3,30,,"Rock, Rhythm, and Roll",RRR,RRR_31300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
2,17,21,10,34,,"Rock, Rhythm, and Roll",RRR,RRR_31300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
2,18,19,2,75,,Ramblin' WREK Report,RWR,RWR,"An all Georgia Tech sports talk show featuring debate on the latest games and previews of upcoming ones. We also feature special guests from analysts around the country to players and coaches themselves. You don't want to miss a minute of the fun, every Wednesday 6-7 PM."
2,19,17,1,29,,The Mobius,MOB,MOB,"Experimental, Ambient, Electronic, and Bitrock."
2,20,17,0,72,,The Mobius,MOB,MOB,"Experimental, Ambient, Electronic, and Bitrock."
2,21,18,0,27,,Destroy All Music,DAM,DAM,"Noise, Jazz, Avant-Garde, and Improv"
2,22,19,1,49,,Friction,FR,FR,"Noise, Avant-Garde, and Improv"
2,23,14,1,61,,Psych-Out!,PO,PO,"Psych-Out is a 60-minute technicolour dream through the world of psychedelia past and present. Devoted to freakouts, psych-pop, acid folk, drone, krautrock, spacerock, etc, your host Curtis is trying to make it as broad, and consequently as deep, as possible. Acid Mothers Temple, Flying Saucer Attack, Nurse With Wound, Incredible String Band, 13th Floor Elevators, Gorky's Zygotic Mynci, Taj Mahal Travelers, and maybe even some groups without 3 words in their title. It's a freak scene!"
3,0,16,0,8,,Atmospherics,ATM,ATM_40000,"Ambient, drone; spaced-out textures for deep meditation."
3,1,17,0,15,,Atmospherics,ATM,ATM_40000,"Ambient, drone; spaced-out textures for deep meditation."
3,2,14,0,1,,Atmospherics,ATM,ATM_40000,"Ambient, drone; spaced-out textures for deep meditation."
3,3,15,0,10,,Overnight Alternatives,OA,OA_40300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
3,4,14,0,6,,Overnight Alternatives,OA,OA_40300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
3,5,14,0,9,,Overnight Alternatives,OA,OA_40300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
3,6,15,0,9,,Classics,CL,CL_40600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
3,7,18,0,24,,Classics,CL,CL_40600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
3,8,23,0,20,,Classics,CL,CL_40600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
3,9,23,3,42,,Jazz,JAZZ,JAZZ_40900,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
3,10,26,0,53,,Jazz,JAZZ,JAZZ_40900,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
3,11,26,4,33,,Jazz,JAZZ,JAZZ_40900,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
3,12,23,2,64,,Just a Bit Off Broadway,BDWY,BDWY,Showtunes and Broadway classics.
3,13,21,3,49,,"Rock, Rhythm, and Roll",RRR,RRR_41300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
3,14,20,2,26,,"Rock, Rhythm, and Roll",RRR,RRR_41300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
3,15,18,2,41,,"Rock, Rhythm, and Roll",RRR,RRR_41300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
3,16,17,7,23,,"Rock, Rhythm, and Roll",RRR,RRR_41300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
3,17,17,2,26,,"Rock, Rhythm, and Roll",RRR,RRR_41300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
3,18,20,0,56,,Pop Up Show,POP,POP,Each month we feature a brand new pop up show!
3,19,21,0,76,,Sci-Fi Lab,SCFI,SCFI,"The Sci Fi Lab discusses all the best in science fiction, from movies and television to literature and actual science."
3,20,20,2,29,,54-46,FFFS,FFFS,"The best selection of reggae, ska, and other good stuff to be found. The chillest music around every week, along with contests when available. Tune in and as always, feel free to request any skanky goodness you please!"
3,21,21,0,45,,WREKroom Renaissance,WRR,WRR,"It has great new music mixed live by DJs, interviews with artists, hip-hop news and information on events."
3,22,22,1,16,,WREKroom Renaissance,WRR,WRR,"It has great new music mixed live by DJs, interviews with artists, hip-hop news and information on events."
3,23,20,10,24,,The Electric Boogaloo,EB,EB,"Throughout the ages, many have sought to attain the conscious spiritual levels required to channel such a program of harmonious bliss. Healing, personal growth, and funkentelechy. Join the mass mediation upon which world healing levels are dependent. It's a funk show, dammit! Just sit back and relax as we do it to you in 3-D."
4,0,19,0,17,,Atmospherics,ATM,ATM_50000,"Ambient, drone; spaced-out textures for deep meditation."
4,1,19,0,39,,Atmospherics,ATM,ATM_50000,"Ambient, drone; spaced-out textures for deep meditation."
4,2,17,0,19,,Atmospherics,ATM,ATM_50000,"Ambient, drone; spaced-out textures for deep meditation."
4,3,16,0,19,,Overnight Alternatives,OA,OA_50300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
4,4,16,0,8,,Overnight Alternatives,OA,OA_50300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
4,5,17,0,5,,Overnight Alternatives,OA,OA_50300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
4,6,18,0,6,,Classics,CL,CL_50600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
4,7,18,2,14,,Classics,CL,CL_50600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
4,8,21,0,22,,Classics,CL,CL_50600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
4,9,22,0,41,,Jazz,JAZZ,JAZZ,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
4,10,25,1,21,,Jazz,JAZZ,JAZZ,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
4,11,25,8,46,,Jazz,JAZZ,JAZZ,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
4,12,16,3,29,,Lost in the Stacks,LITS,LITS,"The one and only Research Library Rock'n'Roll show! Ameet and Charlie from the Georgia Tech Library pick a theme and free-associate an hour of music, interviews, and library talk every Friday for lunch. You'll hear indie rock, pop rock, alt rock, New Wave, and the occasional oddity in between interviews with students, faculty, and librarians."
4,13,20,2,74,,"Rock, Rhythm, and Roll",RRR,RRR_51300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
4,14,22,5,66,,"Rock, Rhythm, and Roll",RRR,RRR_51300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
4,15,22,4,37,,"Rock, Rhythm, and Roll",RRR,RRR_51300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
4,16,21,2,49,,"Rock, Rhythm, and Roll",RRR,RRR_51300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
4,17,22,4,20,,Country Classics,CC,CC,"Joe Bussard's Country Music Classics show covers rare country, folk, bluegrass, and country blues from the first half of the century. Drawing from his extensive collection of vintage 78 rpm records, Joe not only plays these old time classics, but provides very knowledgeable commentary about their origins and the artists themselves. More quality, diverse music every Friday."
4,18,19,0,23,,Friday Night Fish Fry,FNFF,FNFF,"Ready to party when you get off of work on Friday evening after a long week? Instead of listening to the top 40, listen to music you can really boogie to, the blues. The Friday Night Fish Fry brings you the best selections of blues every Friday evening. The Friday Night Fish Fry Crew will serve up cuts from Robert Johnson, Blind Willie McTell, John Lee Hooker, Muddy Waters, RL Burnside, The Black Keys and many more. Also, listen in for special live performances from local Atlanta artists that will have you cuttin' a rug in no time."
4,19,20,3,29,,Friday Night Fish Fry,FNFF,FNFF,"Ready to party when you get off of work on Friday evening after a long week? Instead of listening to the top 40, listen to music you can really boogie to, the blues. The Friday Night Fish Fry brings you the best selections of blues every Friday evening. The Friday Night Fish Fry Crew will serve up cuts from Robert Johnson, Blind Willie McTell, John Lee Hooker, Muddy Waters, RL Burnside, The Black Keys and many more. Also, listen in for special live performances from local Atlanta artists that will have you cuttin' a rug in no time."
4,20,17,10,109,,Stonehenge,SH,SH,"Real Classic Rock that you don't hear anywhere else on the radio. Live every Friday on WREK 91.1 FM Atlanta, GA, or streaming live and archived throughout the week at www.wrek.org."
4,21,23,6,38,,Stonehenge,SH,SH,"Real Classic Rock that you don't hear anywhere else on the radio. Live every Friday on WREK 91.1 FM Atlanta, GA, or streaming live and archived throughout the week at www.wrek.org."
4,22,22,5,36,,Stonehenge,SH,SH,"Real Classic Rock that you don't hear anywhere else on the radio. Live every Friday on WREK 91.1 FM Atlanta, GA, or streaming live and archived throughout the week at www.wrek.org."
4,23,21,0,50,,Stonehenge,SH,SH,"Real Classic Rock that you don't hear anywhere else on the radio. Live every Friday on WREK 91.1 FM Atlanta, GA, or streaming live and archived throughout the week at www.wrek.org."
5,0,18,26,36,,WREKage,WRKG,WRKG,WREKage is Atlanta's longest running true metal radio show. The show airs every Friday evening on WREK Atlanta 91.1 FM from midnight until around 6 a.m.
5,1,17,17,6,,WREKage,WRKG,WRKG,WREKage is Atlanta's longest running true metal radio show. The show airs every Friday evening on WREK Atlanta 91.1 FM from midnight until around 6 a.m.
5,2,17,0,16,,WREKage,WRKG,WRKG,WREKage is Atlanta's longest running true metal radio show. The show airs every Friday evening on WREK Atlanta 91.1 FM from midnight until around 6 a.m.
5,3,16,4,9,,WREKage,WRKG,WRKG,WREKage is Atlanta's longest running true metal radio show. The show airs every Friday evening on WREK Atlanta 91.1 FM from midnight until around 6 a.m.
5,4,17,0,4,,WREKage,WRKG,WRKG,WREKage is Atlanta's longest running true metal radio show. The show airs every Friday evening on WREK Atlanta 91.1 FM from midnight until around 6 a.m.
5,5,17,0,13,,WREKage,WRKG,WRKG,WREKage is Atlanta's longest running true metal radio show. The show airs every Friday evening on WREK Atlanta 91.1 FM from midnight until around 6 a.m.
5,6,19,0,12,,Weekend Cornucopia,WC,WC_60600,"A weekend full of diverse music from all over the world: folk and indigenous (""world"") musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that's simply unclassifiable."
5,7,21,0,14,,Weekend Cornucopia,WC,WC_60600,"A weekend full of diverse music from all over the world: folk and indigenous (""world"") musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that's simply unclassifiable."
5,8,22,0,16,,Weekend Cornucopia,WC,WC_60600,"A weekend full of diverse music from all over the world: folk and indigenous (""world"") musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that's simply unclassifiable."
5,9,22,0,34,,Weekend Cornucopia,WC,WC_60600,"A weekend full of diverse music from all over the world: folk and indigenous (""world"") musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that's simply unclassifiable."
5,10,25,0,32,,Weekend Cornucopia,WC,WC_60600,"A weekend full of diverse music from all over the world: folk and indigenous (""world"") musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that's simply unclassifiable."
5,11,23,1,27,,Weekend Cornucopia,WC,WC_60600,"A weekend full of diverse music from all over the world: folk and indigenous (""world"") musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that's simply unclassifiable."
5,12,19,0,40,,Weekend Cornucopia,WC,WC_60600,"A weekend full of diverse music from all over the world: folk and indigenous (""world"") musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that's simply unclassifiable."
5,13,22,0,32,,Weekend Cornucopia,WC,WC_60600,"A weekend full of diverse music from all over the world: folk and indigenous (""world"") musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that's simply unclassifiable."
